epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,122.903,1.03573,0.7945,0.00746,0.79202,0.8593,0.86771,0.58722,1.1047,0.80384,0.01063,0.000848969,0.000848969,0.000848969
43,125.466,1.05828,0.7853,0.00745,0.76827,0.86099,0.88055,0.59296,1.10208,0.78225,0.01052,0.000834822,0.000834822,0.000834822
44,127.993,1.04446,0.77941,0.00739,0.83915,0.79651,0.87373,0.59758,1.07915,0.8081,0.0102,0.000820675,0.000820675,0.000820675
45,130.514,1.06077,0.75649,0.0075,0.77955,0.84397,0.87248,0.58682,1.12787,0.79401,0.01079,0.000806528,0.000806528,0.000806528
46,133.003,1.06462,0.7473,0.00757,0.75677,0.86114,0.86546,0.58591,1.10178,0.79243,0.01053,0.00079238,0.00079238,0.00079238
47,135.534,1.07606,0.74126,0.00753,0.76822,0.85871,0.86473,0.58089,1.08481,0.78443,0.01019,0.000778233,0.000778233,0.000778233
48,138.16,1.02745,0.73198,0.00685,0.78629,0.84047,0.8616,0.59068,1.05433,0.81364,0.00996,0.000764086,0.000764086,0.000764086
49,140.68,1.02315,0.70281,0.00714,0.78648,0.89207,0.86637,0.60142,1.06343,0.75644,0.01012,0.000749939,0.000749939,0.000749939
50,143.177,1.02844,0.71847,0.0074,0.82927,0.86465,0.874,0.59256,1.06558,0.76002,0.0101,0.000735792,0.000735792,0.000735792
51,145.721,1.01103,0.68157,0.00697,0.77168,0.87037,0.87087,0.59167,1.07957,0.77086,0.01033,0.000721645,0.000721645,0.000721645
52,148.227,0.99609,0.69782,0.00695,0.8123,0.8525,0.88055,0.60581,1.06506,0.80793,0.01013,0.000707498,0.000707498,0.000707498
53,150.768,1.01233,0.69755,0.00706,0.80715,0.85255,0.88181,0.59977,1.0761,0.77817,0.01019,0.000693351,0.000693351,0.000693351
54,153.281,1.00496,0.68961,0.00697,0.86271,0.81486,0.88234,0.59999,1.1153,0.81878,0.01076,0.000679204,0.000679204,0.000679204
55,155.856,0.99539,0.67862,0.00698,0.84642,0.79823,0.88353,0.60374,1.09351,0.81238,0.01037,0.000665057,0.000665057,0.000665057
56,158.398,0.99305,0.66234,0.00699,0.85084,0.82061,0.89261,0.61355,1.06369,0.7508,0.0101,0.000650909,0.000650909,0.000650909
57,160.948,0.98333,0.64776,0.00648,0.80174,0.85144,0.88314,0.60037,1.08866,0.77037,0.01028,0.000636762,0.000636762,0.000636762
58,163.45,0.99823,0.65628,0.00711,0.80483,0.84195,0.87713,0.59003,1.06805,0.76535,0.01021,0.000622615,0.000622615,0.000622615
59,166.076,0.98046,0.63497,0.00656,0.81633,0.82765,0.87157,0.59956,1.06216,0.75962,0.01008,0.000608468,0.000608468,0.000608468
60,168.622,0.98678,0.64395,0.00683,0.8104,0.82262,0.86861,0.59246,1.10106,0.76251,0.01054,0.000594321,0.000594321,0.000594321
61,171.098,0.99434,0.64204,0.00702,0.8722,0.80729,0.88427,0.60355,1.09194,0.75201,0.01044,0.000580174,0.000580174,0.000580174
62,173.584,0.9847,0.63175,0.00667,0.80794,0.83954,0.88014,0.59391,1.10495,0.82032,0.01047,0.000566027,0.000566027,0.000566027
63,176.131,0.97188,0.63189,0.00667,0.82379,0.84706,0.88176,0.59852,1.08393,0.81519,0.01033,0.00055188,0.00055188,0.00055188
64,178.655,0.97707,0.63426,0.00676,0.79105,0.86906,0.8802,0.5997,1.06789,0.77657,0.01015,0.000537733,0.000537733,0.000537733
65,181.163,0.98206,0.61824,0.00651,0.83898,0.81469,0.88005,0.59907,1.05725,0.79575,0.01004,0.000523586,0.000523586,0.000523586
66,183.657,0.97722,0.60308,0.00672,0.86145,0.79511,0.8811,0.60057,1.0573,0.79905,0.01004,0.000509438,0.000509438,0.000509438
67,186.251,0.96557,0.6049,0.00649,0.81605,0.84106,0.88154,0.60262,1.071,0.82517,0.01017,0.000495291,0.000495291,0.000495291
68,188.739,0.9513,0.61438,0.00666,0.86325,0.8253,0.88815,0.60471,1.07429,0.76808,0.01024,0.000481144,0.000481144,0.000481144
69,191.226,0.98235,0.61597,0.00672,0.8407,0.84287,0.87807,0.6011,1.07898,0.78534,0.01024,0.000466997,0.000466997,0.000466997
70,193.731,0.96095,0.59723,0.00647,0.86095,0.82445,0.87772,0.60485,1.09885,0.75305,0.01049,0.00045285,0.00045285,0.00045285
71,196.279,0.95663,0.59849,0.00665,0.82302,0.84876,0.88349,0.59848,1.09129,0.76086,0.01042,0.000438703,0.000438703,0.000438703
72,198.773,0.99377,0.60686,0.0072,0.84998,0.8232,0.88012,0.60021,1.07533,0.76522,0.01021,0.000424556,0.000424556,0.000424556
73,201.272,0.94288,0.57556,0.00624,0.85028,0.80318,0.87731,0.58857,1.08999,0.7835,0.01038,0.000410409,0.000410409,0.000410409
74,203.764,0.95354,0.60298,0.00644,0.79683,0.85069,0.87649,0.59318,1.07811,0.79804,0.01024,0.000396262,0.000396262,0.000396262
75,206.255,0.93937,0.57943,0.00657,0.81805,0.84636,0.88172,0.60795,1.07429,0.78244,0.01024,0.000382115,0.000382115,0.000382115
76,208.841,0.94889,0.58782,0.00632,0.84141,0.83989,0.88517,0.60535,1.07123,0.81932,0.01016,0.000367967,0.000367967,0.000367967
