,precision,recall,f1-score,support
BA,1.0,0.4667,0.6364,15.0
BNE,0.9286,0.8667,0.8966,15.0
EO,1.0,1.0,1.0,15.0
ERB,1.0,0.8667,0.9286,15.0
LY,1.0,0.7333,0.8462,15.0
MMY,0.7143,0.6667,0.6897,15.0
MO,0.619,0.8667,0.7222,15.0
MY,1.0,0.2,0.3333,15.0
MYO,0.8824,1.0,0.9375,15.0
PLT,1.0,1.0,1.0,15.0
PMY,0.4,0.9333,0.56,15.0
SNE,0.8667,0.8667,0.8667,15.0
accuracy,0.7889,0.7889,0.7889,0.7889
macro avg,0.8676,0.7889,0.7848,180.0
weighted avg,0.8676,0.7889,0.7848,180.0
