loss,grad_norm,learning_rate,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
0.9238179016113282,3.1574039459228516,8e-05,0.0062375249500998,25,,,,,,,,,
0.7370275115966797,2.2398672103881836,0.00016333333333333334,0.0124750499001996,50,,,,,,,,,
0.6465972137451171,3.7623322010040283,0.00019997430173759875,0.0187125748502994,75,,,,,,,,,
0.6247148513793945,1.9371813535690308,0.00019980063397715683,0.0249500998003992,100,,,,,,,,,
0.6133787155151367,2.6555094718933105,0.00019946341631587087,0.031187624750499,125,,,,,,,,,
0.5544388580322266,5.580873489379883,0.00019896320137462983,0.0374251497005988,150,,,,,,,,,
0.5708158493041993,2.6100010871887207,0.00019830080888874778,0.043662674650698605,175,,,,,,,,,
0.5174846649169922,2.7207250595092773,0.00019747732436460952,0.0499001996007984,200,,,,,,,,,
0.4382756042480469,2.228276014328003,0.00019649409730077935,0.0561377245508982,225,,,,,,,,,
0.42453914642333984,4.512466907501221,0.00019535273897648857,0.062375249500998,250,,,,,,,,,
0.36994884490966795,1.7404558658599854,0.0001940551198111255,0.0686127744510978,275,,,,,,,,,
0.38776573181152346,1.6804367303848267,0.0001926033662990558,0.0748502994011976,300,,,,,,,,,
0.3926259994506836,1.4402244091033936,0.00019099985752479506,0.08108782435129741,325,,,,,,,,,
0.33807777404785155,2.406114339828491,0.0001892472212642459,0.08732534930139721,350,,,,,,,,,
0.35446048736572267,2.1608498096466064,0.00018734832967838775,0.09356287425149701,375,,,,,,,,,
0.33749229431152344,3.1341192722320557,0.00018530629460647657,0.0998003992015968,400,,,,,,,,,
0.3693071365356445,2.5140254497528076,0.0001831244624664681,0.1060379241516966,425,,,,,,,,,
0.3504022979736328,1.255045771598816,0.0001808064087710212,0.1122754491017964,450,,,,,,,,,
0.3031290054321289,1.9744315147399902,0.00017835593226806903,0.1185129740518962,475,,,,,,,,,
0.3236667251586914,1.6959397792816162,0.0001757770487155592,0.124750499001996,500,,,,,,,,,
,,,0.124750499001996,500,0.2615620791912079,2121.8729,3.236,3.236,,,,,
0.269001350402832,0.9620690941810608,0.00017307398430056593,0.1309880239520958,525,,,,,,,,,
0.33059871673583985,1.6103993654251099,0.00017025116871355735,0.1372255489021956,550,,,,,,,,,
0.2765620231628418,1.2731798887252808,0.00016731322788916892,0.1434630738522954,575,,,,,,,,,
0.27866252899169924,4.256870269775391,0.00016426497642537825,0.1497005988023952,600,,,,,,,,,
0.27982995986938475,2.1946868896484375,0.00016111140969350503,0.15593812375249502,625,,,,,,,,,
0.23471761703491212,1.6877796649932861,0.0001578576956519654,0.16217564870259482,650,,,,,,,,,
0.23547309875488281,6.101584434509277,0.00015450916637719684,0.16841317365269462,675,,,,,,,,,
0.21369918823242187,2.2034711837768555,0.0001510713093256315,0.17465069860279442,700,,,,,,,,,
0.2306966972351074,1.305018663406372,0.00014754975834103877,0.18088822355289422,725,,,,,,,,,
0.21975751876831054,1.1372945308685303,0.0001439502844219723,0.18712574850299402,750,,,,,,,,,
0.26160129547119143,1.827004075050354,0.0001402787862644534,0.19336327345309381,775,,,,,,,,,
0.23588937759399414,0.4839073121547699,0.0001365412805953872,0.1996007984031936,800,,,,,,,,,
0.23049800872802734,0.9172005653381348,0.00013274389231255466,0.2058383233532934,825,,,,,,,,,
0.20696260452270507,3.1363635063171387,0.00012889284444733722,0.2120758483033932,850,,,,,,,,,
0.26064029693603513,1.0680971145629883,0.00012499444796662353,0.218313373253493,875,,,,,,,,,
0.20111934661865236,3.3049254417419434,0.00012105509143061071,0.2245508982035928,900,,,,,,,,,
0.1857903289794922,1.6884841918945312,0.00011708123052344804,0.2307884231536926,925,,,,,,,,,
0.21716304779052734,2.852027654647827,0.00011307937747388034,0.2370259481037924,950,,,,,,,,,
0.1762851333618164,1.1738636493682861,0.00010905609038322779,0.2432634730538922,975,,,,,,,,,
0.21141643524169923,4.6553826332092285,0.00010501796247819175,0.249500998003992,1000,,,,,,,,,
,,,0.249500998003992,1000,0.18474352359771729,1891.4533,3.631,3.631,,,,,
0.14380870819091796,1.4175583124160767,0.00010097161130609773,0.25573852295409183,1025,,,,,,,,,
0.1854913330078125,4.154562473297119,9.692366789028307e-05,0.2619760479041916,1050,,,,,,,,,
0.14409518241882324,0.9722790122032166,9.288076586340006e-05,0.2682135728542914,1075,,,,,,,,,
0.16593694686889648,1.602023959159851,8.88495305964436e-05,0.2744510978043912,1100,,,,,,,,,
0.1591475772857666,0.6993605494499207,8.48365683413172e-05,0.280688622754491,1125,,,,,,,,,
0.18328081130981444,0.6948320269584656,8.084845540473126e-05,0.2869261477045908,1150,,,,,,,,,
0.16678094863891602,2.0208561420440674,7.689172737117389e-05,0.2931636726546906,1175,,,,,,,,,
0.13762983322143554,2.8513028621673584,7.297286839261658e-05,0.2994011976047904,1200,,,,,,,,,
0.13434725761413574,0.4451465308666229,6.909830056250527e-05,0.3056387225548902,1225,,,,,,,,,
0.16039403915405273,1.5914286375045776,6.527437339145098e-05,0.31187624750499005,1250,,,,,,,,,
0.20390539169311522,1.290873408317566,6.15073534018669e-05,0.3181137724550898,1275,,,,,,,,,
0.1700650405883789,2.1204798221588135,5.780341385860333e-05,0.32435129740518964,1300,,,,,,,,,
