step,epoch,loss,learning_rate,eval_loss,eval_accuracy,eval_precision,eval_recall,eval_f1_score,elapsed_time_mins
20,0.00998003992015968,0.8051728248596192,3.6e-05,,,,,,3.3677444140116375
40,0.01996007984031936,0.6796695232391358,7.4e-05,,,,,,6.803025484085083
60,0.029940119760479042,0.5841779232025146,0.00011399999999999999,,,,,,10.23167506456375
80,0.03992015968063872,0.44310879707336426,0.000154,,,,,,13.66040216286977
100,0.0499001996007984,0.42821249961853025,0.000192,0.47442832589149475,0.8420547087074546,0.6555880604868782,0.5897212003868773,0.578309305110784,17.081193459033965
120,0.059880239520958084,0.416624641418457,0.0001999996822693018,,,,,,43.15850857496262
140,0.06986027944111776,0.32601356506347656,0.00019999839149180076,,,,,,46.59434273640315
160,0.07984031936127745,0.34071860313415525,0.0001999961078221346,,,,,,50.02420494953791
180,0.08982035928143713,0.29932758808135984,0.00019999283128297807,,,,,,53.454055615266164
200,0.0998003992015968,0.3089838981628418,0.0001999885619068642,0.25065815448760986,0.9090415535602422,0.7930862170124185,0.7646985557749567,0.7611122222378954,56.87243875265121
